INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,INSTURL,CONTROL,LATITUDE,LONGITUDE,MENONLY,WOMENONLY,ADM_RATE_ALL,SAT_AVG,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,AVGFACSAL,PCTPELL,RET_FT4,PCTFLOAN,AGE_ENTRY,FEMALE,MARRIED,VETERAN,FIRST_GEN,FAMINC,MD_FAMINC
ECPI University-Culinary Institute of Virginia,Norfolk,VA,235131603,Southern Association of Colleges and Schools Commission on Colleges,www.ecpi.edu,3,NULL,NULL,NULL,NULL,0.71113882,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14973,NULL,NULL,NULL,NULL,NULL,NULL,29.25373832,0.637383178,0.282523365,0.019345794,0.476724808,31436.60477,22890
ECPI University-Virginia Beach Health Sciences,Virginia Beach,VA,234621603,Southern Association of Colleges and Schools Commission on Colleges,www.ecpi.edu,3,NULL,NULL,NULL,NULL,0.71113882,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14775,NULL,NULL,NULL,NULL,NULL,NULL,29.25373832,0.637383178,0.282523365,0.019345794,0.476724808,31436.60477,22890
ECPI University-Richmond South,Richmond,VA,232361603,Southern Association of Colleges and Schools Commission on Colleges,www.ecpi.edu,3,NULL,NULL,NULL,NULL,0.71113882,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14775,NULL,NULL,NULL,NULL,NULL,NULL,29.25373832,0.637383178,0.282523365,0.019345794,0.476724808,31436.60477,22890
ECPI University-Innsbrook,Glen Allen,VA,230601603,Southern Association of Colleges and Schools Commission on Colleges,www.ecpi.edu,3,NULL,NULL,NULL,NULL,0.71113882,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14775,NULL,NULL,NULL,NULL,NULL,NULL,29.25373832,0.637383178,0.282523365,0.019345794,0.476724808,31436.60477,22890
ECPI University-Richmond West,Richmond,VA,232941603,Southern Association of Colleges and Schools Commission on Colleges,www.ecpi.edu,3,NULL,NULL,NULL,NULL,0.71113882,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14775,NULL,NULL,NULL,NULL,NULL,NULL,29.25373832,0.637383178,0.282523365,0.019345794,0.476724808,31436.60477,22890
ECPI University - Roanoke,Roanoke,VA,240121603,Southern Association of Colleges and Schools Commission on Colleges,www.ecpi.edu,3,NULL,NULL,NULL,NULL,0.71113882,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14755,NULL,NULL,NULL,NULL,NULL,NULL,29.25373832,0.637383178,0.282523365,0.019345794,0.476724808,31436.60477,22890
ECPI University - College of Nursing - Orlando,Lake Mary,FL,327462197,Southern Association of Colleges and Schools Commission on Colleges,www.ecpi.edu,3,NULL,NULL,NULL,NULL,0.71113882,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29.25373832,0.637383178,0.282523365,0.019345794,0.476724808,31436.60477,22890
Vista College Amarillo,Amarillo,TX,79108,NULL,vistacollege.edu,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29.10102887,0.668619606,0.28450986,0.016147471,0.560966331,20003.98685,15199.5
Vista College Lubbock,Lubbock,TX,79414,Council on Occupational Education,vistacollege.edu,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29.10102887,0.668619606,0.28450986,0.016147471,0.560966331,20003.98685,15199.5
Computer Career Center-Las Cruces,Las Cruces,NM,88011,Council on Occupational Education,vistacollege.edu,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29.10102887,0.668619606,0.28450986,0.016147471,0.560966331,20003.98685,15199.5
